Park Name,Type of Unit,State,Reg,Alpha,Unit
Saint Croix,National Scenic Riverway,WI,MWR,SACN,1
Saint Croix Island,International Historic Site,ME,NER,SACR,1
San Francisco Maritime,National Historical Park,CA,PWR,SAFR,1
Saint-Gaudens,National Historic Site,NH,NER,SAGA,1
Saguaro,National Park,AZ,IMR,SAGU,1
Sagamore Hill,National Historic Site,NY,NER,SAHI,1
Saugus Iron Works,National Historic Site,MA,NER,SAIR,1
San Juan Island,National Historical Park,WA,PWR,SAJH,1
San Juan,National Historic Site,PR,SER,SAJU,1
Salem Maritime,National Historic Site,MA,NER,SAMA,1
Santa Monica Mountains,National Recreation Area,CA,PWR,SAMO,1
Sand Creek Massacre,National Historic Site,CO,IMR,SAND,1
Saint Paul's Church,National Historic Site,NY,NER,SAPA,1
Salinas Pueblo Missions,National Monument,NM,IMR,SAPU,1
Saratoga,National Historical Park,NY,NER,SARA,1
Salt River Bay,National Historic Park and Ecological Preserve,VI,SER,SARI,1
Scotts Bluff,National Monument,NE,MWR,SCBL,1
Sequoia & Kings Canyon,National Parks,CA,PWR,SEKI,2
Selma to Montgomery National Historic Trail,Selma to Montgomery National Historic Trail,AL,SE,SEMO,
Sequoia National Park,Sequoia National Park,CA,PW,SEQU,
Shenandoah,National Park,VA,NER,SHEN,1
Shiloh,National Military Park,TN,SER,SHIL,1
Sitka,National Historical Park,AK,AKR,SITK,1
Sleeping Bear Dunes,National Lakeshore,MI,MWR,SLBE,1
Springfield Armory,National Historic Site,MA,NER,SPAR,1
Steamtown,National Historic Site,PA,NER,STEA,1
Statue Of Liberty,National Monument,NY,NER,STLI,1
Stonewall National Monument,Stonewall National Monument,NY,NE,STON,
Stones River,National Battlefield,TN,SER,STRI,1
Sunset Crater Volcano,National Monument,AZ,IMR,SUCR,1
Tallgrass Prairie,National Preserve,KS,MWR,TAPR,1
Theodore Roosevelt Island,Park,VA,NCR,THIS,1
Thomas Jefferson,Memorial,DC,NCR,THJE,1
Thaddeus Kosciuszko,National Memorial,PA,NER,THKO,1
Theodore Roosevelt Birthplace,National Historic Site,NY,NER,THRB,1
Theodore Roosevelt Inaugural,National Historic Site,NY,NER,THRI,1
Theodore Roosevelt,National Park,ND,MWR,THRO,1
Thomas Stone,National Historic Site,MD,NER,THST,1
Timpanogos Cave,National Monument,UT,IMR,TICA,1
Timucuan,Ecological & Historic Preserve,FL,SER,TIMU,1
Tonto,National Monument,AZ,IMR,TONT,1
Tuskegee Airmen,National Historic Site,AL,SER,TUAI,1
Tuskegee Institute,National Historic Site,AL,SER,TUIN,1
Tumacácori,National Historical Park,AZ,IMR,TUMA,1
Tupelo,National Battlefield,MS,SER,TUPE,1
Tule Springs Fossil Beds National Monument,Tule Springs Fossil Beds National Monument,NV,PW,TUSK,
Tuzigoot,National Monument,AZ,IMR,TUZI,1
Ulysses S Grant,National Historic Site,MO,MWR,ULSG,1
Upper Delaware,Scenic & Recreational River,"NY,PA",NER,UPDE,1
Valley Forge,National Historical Park,PA,NER,VAFO,1
Valles Caldera National Preserve,Valles Caldera National Preserve,NM,IM,VALL,
World War II Valor in the Pacific,National Monument,HI,PWR,VALR,1
Vanderbilt Mansion,National Historic Site,NY,NER,VAMA,1
Vicksburg,National Military Park,MS,SER,VICK,1
Virgin Islands Coral Reef,National Monument,VI,SER,VICR,1
Virgin Islands,National Park,VI,SER,VIIS,1
Vietnam Veterans,Memorial,DC,NCR,VIVE,1
Voyageurs,National Park,MN,MWR,VOYA,1
Washita Battlefield,National Historic Site,OK,IMR,WABA,1
Walnut Canyon,National Monument,AZ,IMR,WACA,1
Waco Mammoth National Monument,Waco Mammoth National Monument,TX,IM,WACO,
Washington Monument,Washington Monument,DC,NC,WAMO,
War In The Pacific,National Historical Park,GU,PWR,WAPA,1
Washington,Monument,DC,NCR,WASH,1
Weir Farm,National Historic Site,CT,NER,WEFA,1
President's Park (White House),,DC,NCR,WHHO,1
Whiskeytown,National Recreation Area,CA,PWR,WHIS,1
Whitman Mission,National Historic Site,WA,PWR,WHMI,1
White Sands,National Monument,NM,IMR,WHSA,1
Wind Cave,National Park,SD,MWR,WICA,1
President William Jefferson Clinton Birthplace Home,National Historic Site,AR,MWR,WICL,1
Wilson's Creek,National Battlefield,MO,MWR,WICR,1
William Howard Taft,National Historic Site,OH,MWR,WIHO,1
Women's Rights,National Historical Park,NY,NER,WORI,1
Wolf Trap National Park for the Performing Arts,,VA,NCR,WOTR,1
Wright Brothers,National Memorial,NC,SER,WRBR,1
Wrangell - St Elias,National Park & Preserve,AK,AKR,WRST,2
Wupatki,National Monument,AZ,IMR,WUPA,1
World War II Memorial,World War II Memorial,DC,NC,WWII,
World War I Memorial,World War I Memorial,DC,NC,WWIM,
Yellowstone,National Park,"ID,MT,WY",IMR,YELL,1
Yosemite,National Park,CA,PWR,YOSE,1
Yukon - Charley Rivers,National Preserve,AK,AKR,YUCH,1
Yucca House,National Monument,CO,IMR,YUHO,1
Zion,National Park,UT,IMR,ZION,1
