,park,url,url_stem,ped_page
415,alca,/alca/planyourvisit/publictransportation.htm,publictransportation,0
416,alca,/alca/planyourvisit/weather.htm,weather,0
417,alca,/alca/planyourvisit/alcatraz-asl.htm,alcatraz-asl,0
418,alca,/alca/planyourvisit/weather.htm,weather,0
419,alca,/alca/planyourvisit/alcatraz-community-access.htm,alcatraz-community-access,0
420,alca,/alca/planyourvisit/pets.htm,pets,0
421,alca,/alca/planyourvisit/publictransportation.htm,publictransportation,0
422,alca,/alca/planyourvisit/alcatraz-community-access.htm,alcatraz-community-access,0
423,alca,/alca/planyourvisit/pets.htm,pets,0
424,alca,/alca/planyourvisit/safety.htm,safety,0
