,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label
314,POCH,3,4,0,1,0,2,1,0,0,11,6.0,High Seasonal Variation
315,POHE,0,2,0,2,0,0,0,0,0,4,,
316,POPO,0,2,0,1,0,0,0,0,0,3,,
317,PORE,99,11,0,10,1,38,10,6,0,175,1.0,Transit Parks
318,PRWI,0,20,0,3,1,0,0,0,1,25,4.0,Urban Low Visitation
319,PUHE,1,3,0,2,0,1,1,0,0,8,3.0,Low Visitation Sites
320,PUHO,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation
321,PULL,3,2,0,1,1,1,3,0,0,11,,
322,RABR,0,2,0,1,1,0,0,0,1,5,7.0,Rural Low Visitation
323,REDW,16,6,1,3,0,3,10,0,0,39,8.0,Rural High Visitation
324,RICH,4,2,0,1,0,0,0,0,0,7,4.0,Urban Low Visitation
325,RIGR,22,2,1,2,0,0,0,3,0,30,7.0,Rural Low Visitation
326,RIRA,2,4,0,1,2,0,0,0,0,9,3.0,Low Visitation Sites
327,ROCR,11,3,1,1,1,0,0,0,1,18,5.0,Urban High Visitation
328,ROLA,1,5,0,2,0,1,0,0,0,9,1.0,Transit Parks
329,ROMO,19,2,0,1,0,0,0,0,0,22,1.0,Transit Parks
330,RORI,2,4,0,21,0,4,2,1,0,34,2.0,Urban Sites
331,ROWI,2,2,0,1,0,0,0,0,0,5,2.0,Urban Sites
332,RRBH,0,2,0,1,0,0,0,0,0,3,,
333,RUCA,4,4,0,1,1,0,1,0,1,12,7.0,Rural Low Visitation
334,SAAN,11,5,1,2,0,1,3,1,0,24,5.0,Urban High Visitation
335,SACN,1,3,0,2,0,0,0,0,0,6,6.0,High Seasonal Variation
336,SACR,0,2,0,1,0,0,0,0,0,3,3.0,Low Visitation Sites
337,SAFR,1,2,0,1,0,0,7,0,0,11,5.0,Urban High Visitation
338,SAGA,5,13,0,4,0,0,0,0,0,22,4.0,Urban Low Visitation
339,SAGU,0,2,0,1,0,0,0,0,0,3,5.0,Urban High Visitation
340,SAHI,4,2,3,1,1,0,1,2,1,15,4.0,Urban Low Visitation
341,SAIR,1,2,0,1,1,0,0,0,0,5,4.0,Urban Low Visitation
342,SAJH,1,3,0,1,0,1,0,0,0,6,6.0,High Seasonal Variation
343,SAJU,0,3,0,2,0,0,1,0,0,6,5.0,Urban High Visitation
344,SAMA,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites
345,SAMO,0,2,1,2,1,5,1,0,0,12,5.0,Urban High Visitation
346,SAND,4,4,0,3,0,0,1,0,0,12,7.0,Rural Low Visitation
347,SAPA,1,2,0,1,3,0,0,0,0,7,4.0,Urban Low Visitation
348,SAPU,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
349,SARA,5,4,0,3,28,1,0,0,0,41,6.0,High Seasonal Variation
350,SARI,0,2,0,1,0,0,0,0,0,3,6.0,High Seasonal Variation
351,SCBL,3,4,0,2,0,0,7,0,0,16,1.0,Transit Parks
352,SEKI,48,6,2,3,0,4,8,1,0,72,,
353,SEMO,3,2,0,1,0,0,1,0,0,7,,
