,park,bike,cycl,pedestrian,on foot,on-foot,walking,total,FinalCluster,Label
70,CHAM,2,6,3,1,0,18,30,4.0,Urban Low Visitation
71,CHAT,6,45,1,1,0,8,61,5.0,Urban High Visitation
72,CHCH,9,8,0,1,0,10,28,5.0,Urban High Visitation
73,CHCU,5,57,0,3,0,5,70,7.0,Rural Low Visitation
74,CHIC,1,112,1,3,0,100,217,8.0,Rural High Visitation
75,CHIR,0,3,0,1,0,4,8,7.0,Rural Low Visitation
76,CHIS,24,19,0,3,0,4,50,1.0,Transit Parks
77,CHOH,124,52,16,2,0,76,270,5.0,Urban High Visitation
78,CHPI,0,2,0,0,0,5,7,7.0,Rural Low Visitation
79,CHRI,0,2,0,0,0,0,2,4.0,Urban Low Visitation
80,CHSC,0,2,2,1,0,13,18,4.0,Urban Low Visitation
81,CHYO,0,2,0,1,0,4,7,3.0,Low Visitation Sites
82,CIRO,1,2,0,0,0,0,3,7.0,Rural Low Visitation
83,CLBA,0,2,0,0,0,0,2,2.0,Urban Sites
84,COGA,7,16,0,0,0,2,25,,
85,COLM,23,115,3,1,0,10,152,8.0,Rural High Visitation
86,COLO,4,102,12,0,0,0,118,5.0,Urban High Visitation
87,CONG,0,4,0,1,0,0,5,4.0,Urban Low Visitation
88,CORO,0,4,1,0,0,0,5,4.0,Urban Low Visitation
89,COWP,1,33,3,0,0,3,40,4.0,Urban Low Visitation
90,CRLA,8,68,12,1,0,41,130,8.0,Rural High Visitation
91,CRMO,0,5,0,1,0,4,10,8.0,Rural High Visitation
92,CRMP,0,2,0,1,0,4,7,,
93,CUGA,1,31,0,1,0,6,39,5.0,Urban High Visitation
94,CUIS,47,13,1,3,0,7,71,1.0,Transit Parks
95,CURE,0,3,0,1,0,2,6,8.0,Rural High Visitation
96,CUVA,88,33,3,1,0,14,139,1.0,Transit Parks
97,DAAV,1,35,0,0,0,0,36,2.0,Urban Sites
98,DELA,0,2,0,0,0,0,2,,
99,DENA,61,286,16,11,0,21,395,1.0,Transit Parks
100,DEPO,20,73,0,2,0,6,101,1.0,Transit Parks
101,DESO,4,26,1,0,0,1,32,3.0,Low Visitation Sites
102,DETO,0,48,0,4,0,3,55,8.0,Rural High Visitation
103,DEVA,4,26,0,1,0,3,34,8.0,Rural High Visitation
104,DEWA,11,28,2,1,0,7,49,1.0,Transit Parks
105,DINO,1,21,1,0,0,0,23,1.0,Transit Parks
106,DRTO,0,5,1,0,0,7,13,1.0,Transit Parks
107,EBLA,2,11,1,0,0,4,18,,
108,EDAL,0,3,7,9,0,25,44,2.0,Urban Sites
109,EDIS,3,12,0,1,0,6,22,4.0,Urban Low Visitation
110,EFMO,7,11,0,0,0,1,19,3.0,Low Visitation Sites
