,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
209,JODA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
210,JODR,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
211,JOFI,0,0,0,7,0,0,0,0,7,2.0,Urban Sites
212,JOFL,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
213,JOMU,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
214,JOTR,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
215,KAHO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
216,KALA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
217,KATM,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
218,KAWW,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
219,KEFJ,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
220,KEMO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
221,KEWE,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
222,KICA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
223,KIMO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
224,KLGO,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
225,KNRI,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
226,KOVA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
227,KOWA,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
228,LABE,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
229,LACH,0,0,0,7,0,0,0,0,7,1.0,Transit Parks
230,LACL,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
231,LAKE,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
232,LAME,0,0,0,0,0,0,0,0,0,,
233,LAMR,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
234,LARO,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
235,LAVO,2,133,1,0,0,0,0,0,136,6.0,High Seasonal Variation
236,LECL,0,0,0,0,0,0,0,0,0,,
237,LEWI,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
238,LIBI,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
239,LIBO,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
240,LIHO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
241,LINC,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
242,LIRI,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
243,LODE,0,0,0,0,0,0,0,0,0,,
244,LONG,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
245,LOSA,0,0,0,0,0,0,0,0,0,,
246,LOWE,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
247,LYBA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
248,LYJO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
249,MABE,0,0,0,0,0,0,0,0,0,,
250,MABI,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
251,MACA,0,0,0,11,0,0,0,0,11,1.0,Transit Parks
252,MALL,0,0,0,0,0,0,0,0,0,,
253,MALU,0,0,0,7,0,0,0,0,7,2.0,Urban Sites
254,MAMC,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
255,MANA,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
256,MANZ,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
257,MAPR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
258,MAVA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
259,MAWA,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
260,MEVE,0,0,0,6,0,0,0,0,6,8.0,Rural High Visitation
261,MIIN,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
262,MIMA,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
263,MIMI,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
264,MISS,0,0,0,8,0,0,0,0,8,6.0,High Seasonal Variation
265,MLKM,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
266,MNRR,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
267,MOCA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
268,MOCR,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
269,MOJA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
270,MONO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
271,MORA,0,28,0,0,0,0,0,0,28,8.0,Rural High Visitation
272,MORR,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
273,MORU,1,2,0,0,0,0,0,0,3,8.0,Rural High Visitation
274,MUWO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
275,NABR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
276,NACA,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
277,NACC,0,0,0,0,0,0,0,0,0,,
278,NAMA,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
279,NATC,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
280,NATR,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
281,NAVA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
282,NEBE,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
283,NEPE,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
284,NERI,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
285,NICO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
286,NIOB,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
287,NISI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
288,NOAT,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
289,NOCA,0,0,0,7,0,0,0,0,7,6.0,High Seasonal Variation
290,NPSA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
291,NWWM,0,0,0,0,0,0,0,0,0,,
