,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total,FinalCluster,Label,ferrynet
318,PRWI,6,0,0,12,0,0,0,1,0,19,4.0,Urban Low Visitation,0
319,PUHE,0,0,0,8,0,0,0,2,0,10,3.0,Low Visitation Sites,0
320,PUHO,1,0,0,0,0,0,0,0,0,1,8.0,Rural High Visitation,0
321,PULL,14,0,21,0,0,0,0,30,0,65,,,0
322,RABR,0,0,0,1,0,0,0,7,0,8,7.0,Rural Low Visitation,0
323,REDW,0,4,14,7,0,0,0,5,0,30,8.0,Rural High Visitation,0
324,RICH,0,2,0,0,0,0,0,0,0,2,4.0,Urban Low Visitation,0
325,RIGR,0,7,0,28,0,0,0,2,0,37,7.0,Rural Low Visitation,0
326,RIRA,0,0,0,0,0,0,0,2,7,9,3.0,Low Visitation Sites,0
327,ROCR,41,0,2,7,0,0,0,1,43,94,5.0,Urban High Visitation,0
328,ROLA,3,21,4,28,23,1,0,4,0,84,1.0,Transit Parks,22
329,ROMO,13,81,66,63,0,0,0,0,0,223,1.0,Transit Parks,0
330,RORI,4,1,4,11,0,0,0,4,0,24,2.0,Urban Sites,0
331,ROWI,0,0,1,0,0,0,0,0,0,1,2.0,Urban Sites,0
332,RRBH,0,0,0,0,0,0,0,0,0,0,,,0
333,RUCA,0,0,0,0,0,0,0,2,0,2,7.0,Rural Low Visitation,0
334,SAAN,2,2,4,0,0,0,0,3,36,47,5.0,Urban High Visitation,0
335,SACN,7,5,0,14,0,0,0,4,0,30,6.0,High Seasonal Variation,0
336,SACR,0,0,0,1,0,0,0,2,0,3,3.0,Low Visitation Sites,0
