,park,parking lot,parking,pull off,pulloff,pull-off,total space,parking space,oversized space,garage,parking spot,parking tag,vehicle space,parking area,total,FinalCluster,Label
274,MUWO,13,105,0,0,0,0,8,0,1,3,0,0,2,132,1.0,Transit Parks
275,NABR,8,12,0,0,0,0,0,0,0,0,0,0,3,23,7.0,Rural Low Visitation
276,NACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
277,NACC,26,247,1,0,0,0,11,0,2,1,0,0,4,292,,
278,NAMA,26,240,1,0,0,0,11,0,2,1,0,0,4,285,1.0,Transit Parks
279,NATC,1,7,0,0,0,0,3,0,0,0,0,0,0,11,3.0,Low Visitation Sites
280,NATR,5,64,2,3,2,0,0,0,0,0,0,0,4,80,5.0,Urban High Visitation
281,NAVA,5,8,0,0,0,0,2,0,0,0,0,0,0,15,7.0,Rural Low Visitation
282,NEBE,0,49,0,0,0,0,0,0,21,0,0,0,0,70,4.0,Urban Low Visitation
283,NEPE,2,7,0,0,0,0,1,0,0,0,0,0,1,11,8.0,Rural High Visitation
284,NERI,46,89,2,0,0,0,0,0,0,1,0,0,15,153,8.0,Rural High Visitation
285,NICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
286,NIOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
287,NISI,5,9,0,0,0,0,1,0,0,1,0,0,1,17,4.0,Urban Low Visitation
288,NOAT,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.0,High Seasonal Variation
289,NOCA,2,31,0,0,1,0,0,0,0,1,0,0,9,44,6.0,High Seasonal Variation
290,NPSA,0,1,8,0,0,0,0,0,0,0,0,0,1,10,6.0,High Seasonal Variation
