trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
village_winter_T31,,,14,14,,,,,,8.614,0
village_winter_T31,15:00:00,15:00:00,1,15,,,,,,10.432,1
village_winter_T32,14:20:00,14:20:00,1,1,,,,,,0.0,1
village_winter_T32,,,2,2,,,,,,1.367,0
village_winter_T32,,,3,3,,,,,,1.88,0
village_winter_T32,,,4,4,,,,,,3.203,0
village_winter_T32,,,5,5,,,,,,3.569,0
village_winter_T32,,,6,6,,,,,,3.814,0
village_winter_T32,,,7,7,,,,,,4.369,0
village_winter_T32,,,8,8,,,,,,4.704,0
village_winter_T32,,,9,9,,,,,,5.364,0
village_winter_T32,,,10,10,,,,,,5.849,0
village_winter_T32,,,11,11,,,,,,6.849,0
village_winter_T32,,,12,12,,,,,,7.329,0
village_winter_T32,,,13,13,,,,,,7.891,0
village_winter_T32,,,14,14,,,,,,8.614,0
village_winter_T32,15:10:00,15:10:00,1,15,,,,,,10.432,1
village_winter_T33,14:30:00,14:30:00,1,1,,,,,,0.0,1
village_winter_T33,,,2,2,,,,,,1.367,0
village_winter_T33,,,3,3,,,,,,1.88,0
village_winter_T33,,,4,4,,,,,,3.203,0
village_winter_T33,,,5,5,,,,,,3.569,0
village_winter_T33,,,6,6,,,,,,3.814,0
village_winter_T33,,,7,7,,,,,,4.369,0
village_winter_T33,,,8,8,,,,,,4.704,0
village_winter_T33,,,9,9,,,,,,5.364,0
village_winter_T33,,,10,10,,,,,,5.849,0
village_winter_T33,,,11,11,,,,,,6.849,0
village_winter_T33,,,12,12,,,,,,7.329,0
village_winter_T33,,,13,13,,,,,,7.891,0
village_winter_T33,,,14,14,,,,,,8.614,0
village_winter_T33,15:20:00,15:20:00,1,15,,,,,,10.432,1
village_winter_T34,14:40:00,14:40:00,1,1,,,,,,0.0,1
village_winter_T34,,,2,2,,,,,,1.367,0
village_winter_T34,,,3,3,,,,,,1.88,0
village_winter_T34,,,4,4,,,,,,3.203,0
village_winter_T34,,,5,5,,,,,,3.569,0
village_winter_T34,,,6,6,,,,,,3.814,0
village_winter_T34,,,7,7,,,,,,4.369,0
village_winter_T34,,,8,8,,,,,,4.704,0
village_winter_T34,,,9,9,,,,,,5.364,0
village_winter_T34,,,10,10,,,,,,5.849,0
village_winter_T34,,,11,11,,,,,,6.849,0
village_winter_T34,,,12,12,,,,,,7.329,0
