ID,ZONE NAME,DATE,HOURS,HOUR GROUP,FOTSC SUM
4702,Ocean Drive,2021-05-13,9,6-9,85.0
4702,Ocean Drive,2021-05-13,10,9-12,145.0
4702,Ocean Drive,2021-05-13,11,9-12,131.0
4702,Ocean Drive,2021-05-13,12,9-12,100.0
4702,Ocean Drive,2021-05-13,13,12-15,96.0
4702,Ocean Drive,2021-05-13,14,12-15,119.0
4702,Ocean Drive,2021-05-13,15,12-15,67.0
4702,Ocean Drive,2021-05-13,16,15-18,69.0
4702,Ocean Drive,2021-05-13,17,15-18,41.0
4702,Ocean Drive,2021-05-13,18,15-18,25.0
4702,Ocean Drive,2021-05-13,19,18-21,16.0
4702,Ocean Drive,2021-05-13,20,18-21,7.0
4702,Ocean Drive,2021-05-13,21,18-21,4.0
4702,Ocean Drive,2021-05-13,22,,5.0
4702,Ocean Drive,2021-05-13,23,,3.0
4702,Ocean Drive,2021-05-14,0,,1.0
4702,Ocean Drive,2021-05-14,1,,1.0
4702,Ocean Drive,2021-05-14,2,,0.0
4702,Ocean Drive,2021-05-14,3,,0.0
4702,Ocean Drive,2021-05-14,4,,12.0
4702,Ocean Drive,2021-05-14,5,,15.0
4702,Ocean Drive,2021-05-14,6,6-9,14.0
4702,Ocean Drive,2021-05-14,7,6-9,20.0
4702,Ocean Drive,2021-05-14,8,6-9,57.0
4702,Ocean Drive,2021-05-14,9,6-9,123.0
4702,Ocean Drive,2021-05-14,10,9-12,191.0
4702,Ocean Drive,2021-05-14,11,9-12,153.0
4702,Ocean Drive,2021-05-14,12,9-12,131.0
4702,Ocean Drive,2021-05-14,13,12-15,112.0
4702,Ocean Drive,2021-05-14,14,12-15,110.0
4702,Ocean Drive,2021-05-14,15,12-15,102.0
4702,Ocean Drive,2021-05-14,16,15-18,81.0
4702,Ocean Drive,2021-05-14,17,15-18,68.0
4702,Ocean Drive,2021-05-14,18,15-18,29.0
4702,Ocean Drive,2021-05-14,19,18-21,18.0
4702,Ocean Drive,2021-05-14,20,18-21,10.0
4702,Ocean Drive,2021-05-14,21,18-21,6.0
4702,Ocean Drive,2021-05-14,22,,16.0
4702,Ocean Drive,2021-05-14,23,,4.0
4702,Ocean Drive,2021-05-15,0,,3.0
4702,Ocean Drive,2021-05-15,1,,0.0
4702,Ocean Drive,2021-05-15,2,,2.0
4702,Ocean Drive,2021-05-15,3,,1.0
4702,Ocean Drive,2021-05-15,4,,11.0
4702,Ocean Drive,2021-05-15,5,,23.0
4702,Ocean Drive,2021-05-15,6,6-9,25.0
4702,Ocean Drive,2021-05-15,7,6-9,42.0
4702,Ocean Drive,2021-05-15,8,6-9,75.0
4702,Ocean Drive,2021-05-15,9,6-9,140.0
4702,Ocean Drive,2021-05-15,10,9-12,200.0
4702,Ocean Drive,2021-05-15,11,9-12,223.0
4702,Ocean Drive,2021-05-15,12,9-12,190.0
4702,Ocean Drive,2021-05-15,13,12-15,182.0
4702,Ocean Drive,2021-05-15,14,12-15,174.0
4702,Ocean Drive,2021-05-15,15,12-15,155.0
4702,Ocean Drive,2021-05-15,16,15-18,122.0
4702,Ocean Drive,2021-05-15,17,15-18,100.0
4702,Ocean Drive,2021-05-15,18,15-18,48.0
4702,Ocean Drive,2021-05-15,19,18-21,28.0
4702,Ocean Drive,2021-05-15,20,18-21,7.0
4702,Ocean Drive,2021-05-15,21,18-21,7.0
4702,Ocean Drive,2021-05-15,22,,5.0
4702,Ocean Drive,2021-05-15,23,,1.0
4702,Ocean Drive,2021-05-16,0,,0.0
4702,Ocean Drive,2021-05-16,1,,0.0
4702,Ocean Drive,2021-05-16,2,,0.0
4702,Ocean Drive,2021-05-16,3,,0.0
4702,Ocean Drive,2021-05-16,4,,6.0
4702,Ocean Drive,2021-05-16,5,,16.0
4702,Ocean Drive,2021-05-16,6,6-9,19.0
4702,Ocean Drive,2021-05-16,7,6-9,19.0
4702,Ocean Drive,2021-05-16,8,6-9,55.0
4702,Ocean Drive,2021-05-16,9,6-9,108.0
4702,Ocean Drive,2021-05-16,10,9-12,180.0
4702,Ocean Drive,2021-05-16,11,9-12,149.0
4702,Ocean Drive,2021-05-16,12,9-12,179.0
4702,Ocean Drive,2021-05-16,13,12-15,127.0
4702,Ocean Drive,2021-05-16,14,12-15,125.0
4702,Ocean Drive,2021-05-16,15,12-15,128.0
4702,Ocean Drive,2021-05-16,16,15-18,88.0
4702,Ocean Drive,2021-05-16,17,15-18,52.0
4702,Ocean Drive,2021-05-16,18,15-18,25.0
4702,Ocean Drive,2021-05-16,19,18-21,18.0
4702,Ocean Drive,2021-05-16,20,18-21,6.0
4702,Ocean Drive,2021-05-16,21,18-21,4.0
4702,Ocean Drive,2021-05-16,22,,9.0
4702,Ocean Drive,2021-05-16,23,,0.0
4702,Ocean Drive,2021-05-17,0,,1.0
4702,Ocean Drive,2021-05-17,1,,0.0
4702,Ocean Drive,2021-05-17,2,,1.0
4702,Ocean Drive,2021-05-17,3,,2.0
4702,Ocean Drive,2021-05-17,4,,2.0
4702,Ocean Drive,2021-05-17,5,,17.0
4702,Ocean Drive,2021-05-17,6,6-9,15.0
4702,Ocean Drive,2021-05-17,7,6-9,42.0
4702,Ocean Drive,2021-05-17,8,6-9,53.0
4702,Ocean Drive,2021-05-17,9,6-9,101.0
4702,Ocean Drive,2021-05-17,10,9-12,150.0
4702,Ocean Drive,2021-05-17,11,9-12,153.0
4702,Ocean Drive,2021-05-17,12,9-12,111.0
4702,Ocean Drive,2021-05-17,13,12-15,132.0
4702,Ocean Drive,2021-05-17,14,12-15,121.0
4702,Ocean Drive,2021-05-17,15,12-15,103.0
4702,Ocean Drive,2021-05-17,16,15-18,87.0
4702,Ocean Drive,2021-05-17,17,15-18,58.0
4702,Ocean Drive,2021-05-17,18,15-18,49.0
4702,Ocean Drive,2021-05-17,19,18-21,23.0
4702,Ocean Drive,2021-05-17,20,18-21,9.0
4702,Ocean Drive,2021-05-17,21,18-21,8.0
4702,Ocean Drive,2021-05-17,22,,5.0
4702,Ocean Drive,2021-05-17,23,,2.0
4702,Ocean Drive,2021-05-18,0,,0.0
4702,Ocean Drive,2021-05-18,1,,2.0
4702,Ocean Drive,2021-05-18,2,,1.0
4702,Ocean Drive,2021-05-18,3,,0.0
4702,Ocean Drive,2021-05-18,4,,7.0
4702,Ocean Drive,2021-05-18,5,,12.0
4702,Ocean Drive,2021-05-18,6,6-9,16.0
4702,Ocean Drive,2021-05-18,7,6-9,22.0
4702,Ocean Drive,2021-05-18,8,6-9,62.0
4702,Ocean Drive,2021-05-18,9,6-9,90.0
4702,Ocean Drive,2021-05-18,10,9-12,117.0
4702,Ocean Drive,2021-05-18,11,9-12,145.0
4702,Ocean Drive,2021-05-18,12,9-12,115.0
4702,Ocean Drive,2021-05-18,13,12-15,133.0
4702,Ocean Drive,2021-05-18,14,12-15,143.0
4702,Ocean Drive,2021-05-18,15,12-15,123.0
4702,Ocean Drive,2021-05-18,16,15-18,74.0
4702,Ocean Drive,2021-05-18,17,15-18,58.0
4702,Ocean Drive,2021-05-18,18,15-18,26.0
4702,Ocean Drive,2021-05-18,19,18-21,20.0
4702,Ocean Drive,2021-05-18,20,18-21,6.0
4702,Ocean Drive,2021-05-18,21,18-21,9.0
4702,Ocean Drive,2021-05-18,22,,2.0
4702,Ocean Drive,2021-05-18,23,,0.0
4702,Ocean Drive,2021-05-19,0,,1.0
4702,Ocean Drive,2021-05-19,1,,1.0
4702,Ocean Drive,2021-05-19,2,,1.0
4702,Ocean Drive,2021-05-19,3,,0.0
4702,Ocean Drive,2021-05-19,4,,3.0
4702,Ocean Drive,2021-05-19,5,,22.0
4702,Ocean Drive,2021-05-19,6,6-9,18.0
4702,Ocean Drive,2021-05-19,7,6-9,22.0
4702,Ocean Drive,2021-05-19,8,6-9,56.0
4702,Ocean Drive,2021-05-19,9,6-9,112.0
4702,Ocean Drive,2021-05-19,10,9-12,149.0
4702,Ocean Drive,2021-05-19,11,9-12,149.0
4702,Ocean Drive,2021-05-19,12,9-12,141.0
4702,Ocean Drive,2021-05-19,13,12-15,181.0
4702,Ocean Drive,2021-05-19,14,12-15,145.0
4702,Ocean Drive,2021-05-19,15,12-15,111.0
4702,Ocean Drive,2021-05-19,16,15-18,105.0
4702,Ocean Drive,2021-05-19,17,15-18,73.0
4702,Ocean Drive,2021-05-19,18,15-18,39.0
4702,Ocean Drive,2021-05-19,19,18-21,32.0
4702,Ocean Drive,2021-05-19,20,18-21,17.0
